Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Block Name (block_name),Block Code (block_code),Village Name (village_name),Village Code (village_code),Nutrient Type (nutrient_type),Nutrient Name (nutrient_name),Nutrient Level (nutrient_level),Value (value)
"2024-25","Madhya Pradesh","23","Narsimhapur","418","Chawarpatha","3922","Kothiya","490706","Macro","Potassium","High",31
"2023-24","Gujarat","24","Kachchh","449","Bhachau","4148","Bharudia","506633","Macro","Organic Carbon","High",1
"2023-24","West Bengal","19","Cooch Behar","308","Dinhata-I","2848","Khar Kharia","308521","Macro","Phosphorus","Medium",0
"2024-25","Madhya Pradesh","23","Umaria","436","Manpur","4040","Urdana","467942","Macro","Potassium","High",13
"2023-24","Gujarat","24","Banas Kantha","441","Danta","4081","Gangva","507934","Macro","Potassium","Low",2
"2023-24","Gujarat","24","Banas Kantha","441","Lakhani","7119","Detal Duva","507585","Micro","Iron","Sufficient",8
"2024-25","Madhya Pradesh","23","Barwani","393","Thikri","3760","Sakad","478262","Macro","Potassium","Low",0
"2024-25","Odisha","21","Jajpur","356","Badchana","3394","Ramadaspur","401819","Micro","Manganese","Sufficient",35
"2024-25","Madhya Pradesh","23","Harda","408","Harda","3852","Kunjargaon","486889","Macro","Organic Carbon","High",146
"2024-25","Telangana","36","Jogulamba Gadwal","695","Ghattu","5224","Aragidda","576267","Macro","Soil Ph","Acidic",0
"2024-25","Uttarakhand","5","Pauri Garhwal","52","Khirsu","404","Chopda","45545","Micro","Iron","Deficient",4
"2024-25","Bihar","10","Gopalganj","197","Kuchaikote","1763","Tula Chhapar","230311","Macro","Nitrogen","Low",9
"2024-25","Bihar","10","Rohtas","215","Nokha","2021","Shivpur","251565","Macro","Nitrogen","Medium",10
"2024-25","Odisha","21","Kendrapara","360","Rajkanika","3441","Gunthala","395604","Macro","Soil Ph","Acidic",2
"2024-25","Jammu And Kashmir","1","Pulwama","11","Pulwama","109","Bandzoo","3228","Micro","Boron","Deficient",0
"2024-25","Bihar","10","Aurangabad","189","Kutumba","1639","Ghoghra","254127","Macro","Phosphorus","Medium",2
"2024-25","Jharkhand","20","Hazaribagh","332","Ichak","3169","Chhaoni","368095","Macro","Organic Carbon","Medium",0
"2024-25","Bihar","10","Araria","188","Narpatganj","1629","Ajitnagar","221531","Micro","Copper","Sufficient",19
"2023-24","Bihar","10","Buxar","194","Simri","1713","Ekauna","247857","Micro","Copper","Deficient",0
"2024-25","Maharashtra","27","Thane","497","Bhiwandi","4590","Pimpalshet Bhuishet","552463","Micro","Zinc","Sufficient",2
"2024-25","Odisha","21","Kandhamal","359","Kotagarh","3428","Budaguda","416969","Micro","Manganese","Sufficient",4
"2024-25","Bihar","10","Siwan","222","Darauli","2111","Tariwan","232342","Macro","Soil Ph","Acidic",0
"2023-24","Madhya Pradesh","23","Mauganj","766","Naigarhi","3958","Mauliya","466985","Micro","Iron","Deficient",0
"2024-25","Odisha","21","Balangir","345","Balangir","3285","Sargadpali","420126","Macro","Soil Ph","Acidic",0
"2023-24","Madhya Pradesh","23","Chhindwara","399","Jamai","3794","Bichhuwa","494470","Micro","Copper","Sufficient",1
"2023-24","Gujarat","24","Patan","455","Santalpur","4200","Navagam","508662","Macro","Potassium","Medium",0
"2023-24","Madhya Pradesh","23","Neemuch","419","Neemuch","3929","Narsinghpura","468601","Macro","Organic Carbon","Medium",3
"2023-24","Rajasthan","8","Udaipur","117","Gogunda","796","Jaswant Garh","105683","Macro","Phosphorus","Medium",10
"2024-25","Bihar","10","Nalanda","209","Harnaut","1901","Tar Bigha","244261","Micro","Sulphur","Deficient",2
"2023-24","Madhya Pradesh","23","Chhindwara","399","Chaurai","3791","Nandna","494341","Macro","Phosphorus","Low",0
"2023-24","Gujarat","24","Vadodara","461","Dabhoi","4258","Karmal","521016","Macro","Potassium","High",9
"2023-24","Maharashtra","27","Nashik","487","Igatpuri","4483","Nandurvaidya","551059","Macro","Potassium","High",11
"2024-25","Himachal Pradesh","2","Shimla","23","Kupvi","7348","Jokhar (131)","25598","Macro","Soil Ph","Neutral",64
"2024-25","Rajasthan","8","Jaisalmer","103","Bhaniyana","7449","Jograjgarh","86426","Macro","Electrical Conductivity","Non Saline",30
"2024-25","Andhra Pradesh","28","Ananthapuramu","502","Kambadur","4711","Ralla Anantapuram","595139","Micro","Manganese","Sufficient",27
"2023-24","Bihar","10","Nalanda","209","Hilsa","1902","Kusaita","244777","Macro","Organic Carbon","Low",53
"2023-24","Madhya Pradesh","23","Barwani","393","Sendhawa","3759","Julwaniya","478591","Micro","Manganese","Sufficient",8
"2023-24","West Bengal","19","Jalpaiguri","314","Maynaguri","2929","Panbari","307511","Macro","Potassium","Low",3
"2024-25","Haryana","6","Palwal","619","Prithla","6734","Kaluka (212)","63765","Macro","Nitrogen","High",0
"2024-25","Maharashtra","27","Parbhani","489","Purna","4508","Dagadwadi","547252","Micro","Sulphur","Sufficient",1
"2024-25","West Bengal","19","Bankura","305","Barjora","2776","Mathuradanga","327353","Micro","Sulphur","Deficient",0
"2024-25","Madhya Pradesh","23","Barwani","393","Barwani","3754","Nandgaon","477998","Macro","Soil Ph","Alkaline",0
